speaker_id,term_id,n,c,tf,tfidf
201,1276,8,1,0.011363636363636364,0.0
201,1281,2,1,0.002840909090909091,0.0007617862763333113
201,1338,4,1,0.005681818181818182,0.0006280733858389628
201,1351,1,1,0.0014204545454545455,0.0007358327308038714
201,1359,1,1,0.0014204545454545455,4.305669640460069e-05
201,1382,6,1,0.008522727272727272,0.0
201,1387,1,1,0.0014204545454545455,0.0004345700712481895
201,1393,1,1,0.0014204545454545455,0.00018444044190773308
201,1394,1,1,0.0014204545454545455,0.0005250091051535549
201,1403,2,1,0.002840909090909091,0.001383500024846468
201,1417,1,1,0.0014204545454545455,0.000670836295348367
